"Date","Sales Count","Subtotal","Discounts","Total","Cost","Profit","Margin"
"2018-09-29 00:00","10","$6,601.77","$0.00","$7,560.50","$4,901.70","$1,700.07","25.75%"
"2018-10-01 00:00","9","$394.62","$0.00","$423.80","$151.00","$243.62","61.74%"
"2018-10-02 00:00","8","$809.59","$13.00","$913.00","$474.99","$334.60","41.33%"
"2018-10-03 00:00","12","$5,030.86","$45.00","$5,781.00","$2,978.52","$2,052.34","40.8%"
"2018-10-04 00:00","17","$1,131.95","$7.50","$1,299.50","$735.63","$396.32","32.51%"
"2018-10-05 00:00","16","$8,037.50","$32.40","$9,183.10","$5,167.32","$2,870.18","35.71%"
"2018-10-06 00:00","6","$254.57","$0.00","$286.00","$140.56","$114.01","33.38%"
"2018-10-08 00:00","14","$2,197.40","$90.34","$2,489.50","$948.29","$1,249.11","56.84%"
"2018-10-09 00:00","5","$276.95","$0.00","$302.00","$123.29","$153.66","55.48%"
"2018-10-10 00:00","10","$1,167.18","$17.50","$1,308.50","$662.94","$504.24","43.2%"
"2018-10-11 00:00","10","$1,658.06","$13.00","$1,882.00","$956.24","$701.82","42.33%"
"2018-10-12 00:00","12","$1,531.94","$20.25","$1,719.75","$524.25","$1,007.69","65.78%"
"2018-10-13 00:00","7","$1,644.65","$72.40","$1,872.60","$902.23","$742.42","45.14%"
"2018-10-15 00:00","9","$2,242.35","$14.80","$2,541.20","$862.88","$1,379.47","61.52%"
"2018-10-16 00:00","9","$493.72","$15.00","$558.00","$213.22","$280.50","56.81%"
"2018-10-17 00:00","8","$796.98","$0.00","$897.00","$488.44","$308.54","38.71%"
"2018-10-18 00:00","7","$4,555.88","$0.00","$5,219.00","$3,162.93","$1,392.95","30.57%"
"2018-10-19 00:00","16","$11,785.45","$44.00","$13,495.50","$8,414.64","$3,370.81","28.6%"
"2018-10-20 00:00","14","$4,697.75","$15.35","$5,356.65","$3,177.98","$1,519.77","32.35%"
"2018-10-23 00:00","13","$1,453.33","$134.80","$1,663.80","$782.83","$670.50","46.14%"
"2018-10-24 00:00","17","$2,510.21","$12.50","$2,854.50","$1,415.40","$1,094.81","43.61%"
"2018-10-25 00:00","15","$952.38","$16.50","$1,081.00","$461.22","$491.16","51.57%"
"2018-10-26 00:00","17","$2,199.78","$17.00","$2,446.50","$995.81","$1,203.97","54.73%"
"2018-10-27 00:00","9","$3,021.61","$11.00","$3,425.35","$1,846.60","$1,175.01","38.89%"
"2018-10-29 00:00","4","$324.36","$0.00","$355.00","$131.28","$193.08","59.53%"
"2018-10-30 00:00","8","$15,128.69","$0.00","$17,380.00","$10,842.92","$4,285.77","28.33%"
